antecedent;consequent;support;confidence
tour needed;great;0.00011844175533174912;0.37549407114624506
tour one;great;0.0010323134043651397;0.38637424171721885
tour great;one;0.0010323134043651397;0.26874391431353456
experience order;food;0.009506509309521969;0.5953775279144218
experience food;order;0.009506509309521969;0.22957877939361093
experience usually;order;0.001098391436287063;0.2503552145495879
experience order;good;0.007485518936966544;0.4688061216522214
experience usually;food;0.0020521592555374636;0.467746518897414
experience food;good;0.01927608399141235;0.4655104928792943
experience good;food;0.01927608399141235;0.5004369639100178
experience way;never;0.004014552128086654;0.2623645400472582
experience never;way;0.004014552128086654;0.2021216496139602
way never;experience;0.004014552128086654;0.23572474377745242
experience usually;good;0.0022217179789597572;0.5063938618925831
come many;like;0.004968319947337056;0.45867863720073665
like many;come;0.004968319947337056;0.20204836992343966
come like;good;0.016915976172012338;0.4822977392293473
come good;like;0.016915976172012338;0.40626403569182856
come many;good;0.004973306968614181;0.4591390423572744
well maybe;one;0.0044721113302629905;0.5072832696931128
maybe one;well;0.0044721113302629905;0.29720772226365066
well maybe;good;0.005045618777132513;0.5723377174374205
maybe good;well;0.005045618777132513;0.2745590230664858
well one;good;0.02158881510867966;0.4703389830508474
well good;one;0.02158881510867966;0.368503937007874
one good;well;0.02158881510867966;0.2528289214326388
order long;never;0.003120628564161769;0.2457053106900952
long never;order;0.003120628564161769;0.25282828282828285
order usually;food;0.003985876755743178;0.5521588946459413
food usually;order;0.003985876755743178;0.2791164658634538
order;good food;0.02792357888594932;0.24553537169606546
order food;good;0.02792357888594932;0.4831729732061958
order good;food;0.02792357888594932;0.5902957145116231
order maybe;back;0.0034584992556870742;0.4369880277252678
maybe back;order;0.0034584992556870742;0.2554092624988491
order maybe;go;0.003351278298228859;0.42344045368620037
maybe go;order;0.003351278298228859;0.26820993813610056
order back;go;0.015195453831403772;0.4263476405359079
order go;back;0.015195453831403772;0.4368145652641388
order usually;good;0.0036891489897541646;0.5110535405872193
usually good;order;0.0036891489897541646;0.24080403645833331
long diner;good;0.0003540785106759658;0.5318352059925093
need clean;like;0.0020583930321338715;0.4039637876192806
need clean;even;0.0013863919150411054;0.27208221189136284
need like;even;0.006294867607052645;0.32032736962314423
need even;like;0.006294867607052645;0.47417355371900827
need work;like;0.0034460317024942585;0.4132775119617224
need work;even;0.002610705638575607;0.3130980861244019
usually;good food;0.00800541590510696;0.2393751864002386
food usually;good;0.00800541590510696;0.5605901868342937
